사례ID,실행 연월,기관,자금명,실행 금액(만원),금리,상환 조건,지역(시도),업종,사업 형태,업력(년),신용점수 구간,연매출 구간,폐업 이력,체납 이력,기존 정책자금,동시 진행 자금,소요일,한 줄 메모,증빙 파일,사이트 공개
2025-04,2025-10,소상공인시장진흥공단,혁신성장촉진자금(운전),2000,연 3.9%,"거치식 원금균등분할, 납입주기 1개월",경기,교육 서비스업,개인,0.9,700점대,3천만원 미만,재창업,없음,없음,재단,38,,,
2025-05,2025-10,기술보증기금,벤처·이노비즈 특례보증,23500,연 2.83%,보증서대출 이자만 납부 방식,부산,바이오 소재,법인,5.1,800점대,50억원 이상,없음,없음,없음,,37,,,
2025-06,2025-10,신용보증기금,스케일업 보증부 대출,13000,연 3.43%,보증서대출 이자만 납부 방식,경기,의료기기 제조업,법인,8,800점대,50억원 이상,재창업,없음,있음,기보,47,,,
2025-07,2025-10,신용보증기금,스케일업 보증부 대출,17000,연 3.6%,보증서대출 이자만 납부 방식,서울,화장품 제조·수출,법인,8.7,700점대,30억~50억,없음,없음,있음,지자체 이차보전,42,,,
E19,2025-10,지역신용보증재단,보증부 대출,3500,연 3.9%,"분할상환, 거치 24개월",인천,온라인 이커머스,개인,0.8,800점대,5천만원 미만,재창업,없음,있음,,17,,,
2025-09,2025-10,소상공인시장진흥공단,혁신성장촉진자금(운전),1500,연 3.57%,거치식 원금균등분할(48개월),경기,생활용품 도소매,개인,3.5,600점대,1억~3억원,없음,없음,있음,,15,,,
2025-10,2025-10,대구신용보증재단,지자체 소상공인 이차보전 특례보증 상품,2000,연 3.66%,"분할상환, 거치 24개월",대구,건설·인테리어,개인,3.2,600점대,5천만원 미만,재창업,없음,없음,,13,,,
2025-01,2025-09,중소벤처기업진흥공단,혁신창업사업화자금,11500,연 2.79%,거치식 원금균등분할,서울,정밀기계 제조업,법인,3.2,800점대,3억~5억,없음,없음,있음,신보,37,,,
E70,2025-09,중소벤처기업진흥공단,혁신창업사업화자금,20500,연 2.54%,"거치식 원금균등분할, 납입주기 1개월",인천,전자기기 제조,법인,3.3,700점대,5억~10억,없음,없음,있음,신보,42,,,
2025-03,2025-09,중소벤처기업진흥공단,투융자복합금융자금,9000,연 2.85%,거치식 원금균등분할,경북,바이오 소재,법인,2.6,900점대,5억~10억,없음,없음,없음,기보,60,,,
2025-04,2025-09,경북신용보증재단,보증부 대출,3000,연 2.57%,"분할상환, 거치 24개월",경북,건설·인테리어,개인,8.9,800점대,1억 미만,없음,없음,없음,재단,18,,,
2025-05,2025-09,중소벤처기업진흥공단,투융자복합금융자금,9000,연 3.37%,"분할상환, 거치 12개월",경기,바이오 소재,개인,8.2,800점대,5억~10억,없음,없음,없음,,45,,,
E64,2025-09,전북신용보증재단,지자체 소상공인 이차보전 특례보증 상품,2000,연 3.59%,"분할상환, 거치 24개월",전북,카페·베이커리,개인,4.5,700점대,1억 미만,재창업,없음,있음,,20,,,
2025-07,2025-09,신용보증기금,스케일업 보증부 대출,12000,연 3.72%,보증서대출 이자만 납부 방식,경기,건축자재 도소매,법인,11.4,800점대,50억원 이상,없음,없음,있음,,49,,,
2025-08,2025-09,신용보증기금,수출중소기업 특례보증,8000,연 3.23%,보증서대출 이자만 납부 방식,강원,의료기기 제조업,법인,7.7,700점대,5억~10억,없음,없음,없음,지자체 이차보전,40,,,
E5,2025-09,중소벤처기업진흥공단,제조 스마트화 설비자금,17000,연 2.94%,"분할상환, 거치 12개월",경남,2차전지 부품제조,법인,5.8,800점대,5억~10억,없음,없음,없음,기보,65,,,
2025-10,2025-09,인천신용보증재단,인천 소상공인 특례보증 대출,3500,연 3.66%,"분할상환, 거치 12개월",인천,생활용품 도소매,개인,2.4,800점대,1억~3억원,없음,없음,있음,소진공,12,,,
2025-01,2025-08,소상공인시장진흥공단,소공인특화자금,3000,연 4.67%,거치식 원금균등분할(48개월),경기,카페·베이커리,개인,2.8,700점대,1억 미만,재창업,없음,있음,,28,,,
2025-02,2025-08,신용보증기금,수출중소기업 특례보증,14000,연 3.81%,보증서대출 이자만 납부 방식,전북,금속 가공업,법인,9.4,800점대,10억~30억,없음,없음,있음,지자체 이차보전,40,,,
E93,2025-08,중소벤처기업진흥공단,제조 스마트화 설비자금,10000,연 2.63%,"거치식 원금균등분할, 납입주기 1개월",대구,바이오 소재,법인,5,900점대,10억~30억,없음,없음,없음,기보,63,,,
2025-04,2025-08,중소벤처기업진흥공단,신성장기반자금,18500,연 3.0%,거치식 원금균등분할,경남,건축자재 도소매,개인,2.1,700점대,5억~10억,없음,없음,있음,기보,45,,,
E29,2025-08,신용보증기금,유망창업기업 Start-up 보증,10000,연 3.33%,보증서대출 이자만 납부 방식,충북,친환경 패키징 제조,법인,5.6,900점대,30억~50억,없음,없음,있음,기보,33,,,
2025-06,2025-08,광주신용보증재단,지자체 소상공인 이차보전 특례보증 상품,1500,연 2.62%,"분할상환, 거치 12개월",광주,뷰티 서비스업,개인,6.6,900점대,3천만원 미만,재창업,없음,없음,,25,,,
2025-07,2025-08,광주신용보증재단,광주 소상공인 특례보증 대출,1500,연 2.74%,"분할상환, 거치 12개월",광주,온라인 이커머스,개인,5,700점대,1억 미만,없음,없음,있음,,20,,,
2025-08,2025-08,소상공인시장진흥공단,소공인특화자금,3000,연 4.4%,거치식 원금균등분할(48개월),경기,카페·베이커리,개인,1.7,700점대,3천만원 미만,없음,없음,없음,재단,23,,,
2025-09,2025-08,신용보증기금,스케일업 보증부 대출,23500,연 3.48%,보증서대출 이자만 납부 방식,전남,로봇 자동화 설비,법인,12.6,900점대,30억~50억,없음,없음,있음,,44,,,
2025-10,2025-08,소상공인시장진흥공단,소공인특화자금,1000,연 5.15%,거치식 원금균등분할(48개월),인천,식품 제조·가공업,개인,2.4,600점대,5천만원 미만,없음,없음,있음,,32,,,
2025-01,2025-07,소상공인시장진흥공단,소공인특화자금,4000,연 3.51%,"거치식 원금균등분할, 납입주기 1개월",대구,카페·베이커리,개인,2.3,700점대,1억 미만,없음,없음,없음,,39,,,
2025-02,2025-07,중소벤처기업진흥공단,투융자복합금융자금,10000,연 2.89%,"분할상환, 거치 12개월",전남,로봇 자동화 설비,법인,3.5,900점대,10억~30억,없음,없음,있음,기보,38,,,
2025-03,2025-07,대구신용보증재단,대구 소상공인 특례보증 대출,3000,연 3.4%,"분할상환, 거치 12개월",대구,온라인 이커머스,개인,5.2,600점대,3천만원 미만,없음,없음,없음,재단,26,,,
2025-04,2025-07,중소벤처기업진흥공단,신성장기반자금,16500,연 2.66%,"분할상환, 거치 12개월",전남,화장품 제조·수출,법인,3.7,800점대,10억~30억,없음,없음,없음,신보,50,,,
2025-05,2025-07,신용보증기금,신보 보증부 대출 (일반성장),18500,연 3.63%,보증서대출 이자만 납부 방식,경기,전자기기 제조,법인,13.3,900점대,5억~10억,재창업,없음,없음,기보,29,,,
2025-06,2025-07,기술보증기금,청년창업 스마트보증,15500,연 3.46%,보증서대출 이자만 납부 방식,경남,의료기기 제조업,개인,14.3,700점대,10억~30억,없음,없음,있음,,40,,,
2025-07,2025-07,중소벤처기업진흥공단,신성장기반자금,20500,연 3.37%,"거치식 원금균등분할, 납입주기 1개월",경기,가공식품 유통,법인,7.4,900점대,3억~5억,없음,없음,없음,,51,,,
2025-08,2025-07,소상공인시장진흥공단,소공인특화자금,3000,연 4.46%,"분할상환, 거치 24개월",서울,뷰티 서비스업,개인,3.1,600점대,5천만원 미만,없음,없음,없음,재단,33,,,
2025-09,2025-07,인천신용보증재단,인천 소상공인 특례보증 대출,4500,연 3.02%,"분할상환, 거치 24개월",인천,뷰티 서비스업,개인,3.1,900점대,1억~3억원,재창업,없음,있음,,11,,,
2025-10,2025-07,대구신용보증재단,대구 소상공인 특례보증 대출,4500,연 2.82%,"분할상환, 거치 24개월",대구,식품 제조·가공업,개인,2.9,800점대,5천만원 미만,없음,없음,있음,소진공,11,,,
2025-01,2025-06,중소벤처기업진흥공단,신성장기반자금,10500,연 2.91%,"거치 24개월, 분할상환",경기,가공식품 유통,법인,7.1,700점대,3억~5억,없음,없음,있음,,55,,,
E61,2025-06,중소벤처기업진흥공단,신성장기반자금,16500,연 2.79%,"분할상환, 거치 12개월",인천,정밀기계 제조업,법인,1.8,900점대,3억~5억,없음,없음,있음,기보,48,,,
2025-03,2025-06,기술보증기금,기보 우수R&D 기술보증 대출,22000,연 3.43%,보증서대출 이자만 납부 방식,서울,반도체 장비 제조,법인,14.5,800점대,10억~30억,없음,없음,있음,신보,48,,,
2025-04,2025-06,소상공인시장진흥공단,혁신성장촉진자금(운전),3500,연 5.23%,"거치식 원금균등분할, 납입주기 1개월",경북,식품 제조·가공업,개인,2.7,600점대,1억~3억원,없음,없음,있음,,35,,,
2025-05,2025-06,중소벤처기업진흥공단,투융자복합금융자금,8000,연 3.24%,거치식 원금균등분할,경기,섬유·의류 제조업,개인,7.1,700점대,3억~5억,없음,없음,없음,,51,,,
2025-06,2025-06,중소벤처기업진흥공단,혁신창업사업화자금,11500,연 2.98%,거치식 원금균등분할,경기,의료기기 제조업,개인,4.5,800점대,5억~10억,없음,없음,없음,신보,53,,,
2025-07,2025-06,기술보증기금,기보 보증부 대출,18000,연 2.85%,보증서대출 이자만 납부 방식,경기,2차전지 부품제조,법인,4.1,900점대,50억원 이상,없음,없음,없음,,50,,,
E38,2025-06,신용보증기금,수출중소기업 특례보증,14000,연 3.96%,보증서대출 이자만 납부 방식,경기,2차전지 부품제조,개인,11.7,900점대,30억~50억,재창업,없음,없음,기보,35,,,
2025-09,2025-06,중소벤처기업진흥공단,혁신창업사업화자금,17000,연 2.58%,"거치식 원금균등분할, 납입주기 1개월",인천,화장품 제조·수출,개인,8.5,900점대,3억~5억,없음,없음,있음,기보,45,,,
2025-10,2025-06,중소벤처기업진흥공단,신성장기반자금,10000,연 3.4%,"거치식 원금균등분할, 납입주기 1개월",서울,로봇 자동화 설비,법인,5.1,900점대,5억~10억,없음,없음,없음,,52,,,
2025-01,2025-05,경기신용보증재단,경기 소상공인 특례보증 대출,1500,연 3.62%,"분할상환, 거치 24개월",경기,카페·베이커리,개인,0.7,800점대,3천만원 미만,없음,없음,있음,,25,,,
2025-02,2025-05,중소벤처기업진흥공단,신성장기반자금,17000,연 3.49%,"거치식 원금균등분할, 납입주기 1개월",경기,전자기기 제조,법인,9.3,800점대,5억~10억,없음,없음,있음,기보,55,,,
2025-03,2025-05,기술보증기금,청년창업 스마트보증,25000,연 2.9%,보증서대출 이자만 납부 방식,경기,의료기기 제조업,법인,11.8,800점대,30억~50억,없음,없음,없음,,37,,,
2025-04,2025-05,신용보증기금,유망창업기업 Start-up 보증,13000,연 3.94%,보증서대출 이자만 납부 방식,경북,바이오 소재,법인,2.4,900점대,50억원 이상,없음,없음,있음,기보,30,,,
2025-05,2025-05,기술보증기금,기보 우수R&D 기술보증 대출,18000,연 3.39%,보증서대출 이자만 납부 방식,부산,전자기기 제조,법인,9,700점대,10억~30억,없음,없음,없음,중진공,53,,,
2025-06,2025-05,중소벤처기업진흥공단,투융자복합금융자금,15500,연 3.38%,거치식 원금균등분할,경기,물류·운송업,법인,4.7,800점대,3억~5억,없음,없음,있음,,52,,,
2025-07,2025-05,소상공인시장진흥공단,소공인특화자금,3000,연 4.72%,"분할상환, 거치 24개월",세종,온라인 이커머스,개인,0.9,700점대,5천만원 미만,없음,없음,있음,재단,33,,,
2025-08,2025-05,기술보증기금,청년창업 스마트보증,13000,연 3.25%,보증서대출 이자만 납부 방식,경기,전자기기 제조,법인,3.7,700점대,30억~50억,없음,없음,있음,신보,50,,,
2025-09,2025-05,중소벤처기업진흥공단,투융자복합금융자금,13000,연 2.55%,"거치 24개월, 분할상환",대전,전자기기 제조,법인,6.4,700점대,3억~5억,없음,없음,있음,,41,,,
2025-10,2025-05,신용보증기금,신보 보증부 대출 (일반성장),13000,연 3.94%,보증서대출 이자만 납부 방식,서울,바이오 소재,개인,15,800점대,10억~30억,없음,없음,없음,기보,45,,,
2025-01,2025-04,신용보증기금,스케일업 보증부 대출,22000,연 3.68%,보증서대출 이자만 납부 방식,경기,섬유·의류 제조업,개인,8.7,800점대,50억원 이상,없음,없음,없음,지자체 이차보전,34,,,
2025-02,2025-04,중소벤처기업진흥공단,신성장기반자금,8000,연 2.76%,거치식 원금균등분할,서울,화장품 제조·수출,법인,4.8,700점대,3억~5억,없음,없음,없음,기보,47,,,
2025-03,2025-04,신용보증기금,유망창업기업 Start-up 보증,14500,연 3.79%,보증서대출 이자만 납부 방식,경남,2차전지 부품제조,법인,10.3,800점대,50억원 이상,없음,없음,없음,기보,32,,,
2025-04,2025-04,중소벤처기업진흥공단,혁신창업사업화자금,10000,연 3.45%,"거치 24개월, 분할상환",경북,물류·운송업,개인,1.1,700점대,10억~30억,없음,없음,있음,,57,,,
2025-05,2025-04,신용보증기금,스케일업 보증부 대출,17000,연 3.15%,보증서대출 이자만 납부 방식,인천,친환경 패키징 제조,법인,10,800점대,50억원 이상,없음,없음,있음,,28,,,
2025-06,2025-04,대전신용보증재단,대전 소상공인 특례보증 대출,5000,연 3.72%,"분할상환, 거치 12개월",대전,온라인 이커머스,개인,8.1,700점대,3천만원 미만,없음,없음,있음,소진공,16,,,
2025-07,2025-04,신용보증기금,유망창업기업 Start-up 보증,14500,연 3.82%,보증서대출 이자만 납부 방식,대전,화장품 제조·수출,법인,7.3,900점대,10억~30억,없음,없음,없음,,48,,,
E84,2025-04,지역신용보증재단,대구 소상공인 특례보증 대출,5000,연 3.21%,"분할상환, 거치 24개월",대구,전문 음식점업,개인,7.1,600점대,1억~3억원,재창업,없음,없음,,26,,,
E30,2025-04,신용보증기금,스케일업 보증부 대출,14500,연 3.14%,보증서대출 이자만 납부 방식,경북,화장품 제조·수출,법인,5.6,900점대,5억~10억,없음,없음,없음,,34,,,
2025-10,2025-04,전북신용보증재단,전북 소상공인 특례보증 대출,3500,연 2.74%,"분할상환, 거치 12개월",전북,건설·인테리어,개인,5.8,900점대,1억 미만,재창업,없음,있음,,26,,,
2025-01,2025-03,신용보증기금,신보 보증부 대출 (일반성장),18500,연 3.31%,보증서대출 이자만 납부 방식,서울,화장품 제조·수출,법인,12,900점대,50억원 이상,없음,없음,있음,지자체 이차보전,42,,,
2025-02,2025-03,신용보증기금,스케일업 보증부 대출,18500,연 3.27%,보증서대출 이자만 납부 방식,경기,의료기기 제조업,법인,3.1,900점대,30억~50억,없음,없음,있음,,36,,,
2025-03,2025-03,부산신용보증재단,지자체 소상공인 이차보전 특례보증 상품,3500,연 3.04%,"분할상환, 거치 24개월",부산,카페·베이커리,개인,0.4,800점대,1억~3억원,재창업,없음,없음,,14,,,
2025-04,2025-03,중소벤처기업진흥공단,제조 스마트화 설비자금,8000,연 2.59%,"거치 24개월, 분할상환",서울,금속 가공업,개인,6.4,800점대,5억~10억,없음,없음,있음,신보,48,,,
2025-05,2025-03,기술보증기금,벤처·이노비즈 특례보증,27000,연 3.22%,보증서대출 이자만 납부 방식,경남,핀테크 플랫폼,법인,3.8,800점대,30억~50억,없음,없음,없음,중진공,32,,,
2025-06,2025-03,신용보증기금,유망창업기업 Start-up 보증,20500,연 3.8%,보증서대출 이자만 납부 방식,경남,건축자재 도소매,개인,5.2,900점대,50억원 이상,없음,없음,없음,,32,,,
2025-07,2025-03,소상공인시장진흥공단,혁신성장촉진자금(운전),3500,연 4.91%,"분할상환, 거치 24개월",인천,도소매업,개인,2.3,700점대,5천만원 미만,없음,없음,없음,재단,44,,,
2025-08,2025-03,소상공인시장진흥공단,혁신성장촉진자금(운전),3500,연 5.19%,"거치식 원금균등분할, 납입주기 1개월",경기,건설·인테리어,개인,1.8,700점대,1억~3억원,없음,없음,있음,재단,25,,,
2025-09,2025-03,중소벤처기업진흥공단,제조 스마트화 설비자금,19500,연 3.3%,거치식 원금균등분할,충남,건축자재 도소매,법인,8.4,800점대,10억~30억,없음,없음,없음,기보,55,,,
2025-10,2025-03,신용보증기금,수출중소기업 특례보증,18500,연 3.81%,보증서대출 이자만 납부 방식,서울,화장품 제조·수출,법인,9.8,900점대,50억원 이상,재창업,없음,있음,지자체 이차보전,50,,,
2025-01,2025-02,중소벤처기업진흥공단,혁신창업사업화자금,14000,연 3.16%,"거치 24개월, 분할상환",경기,바이오 소재,개인,6.5,900점대,10억~30억,없음,없음,없음,신보,65,,,
2025-02,2025-02,기술보증기금,기보 우수R&D 기술보증 대출,18500,연 2.98%,보증서대출 이자만 납부 방식,경기,온라인 B2B 플랫폼,법인,9.5,900점대,10억~30억,없음,없음,없음,신보,42,,,
2025-03,2025-02,경남신용보증재단,보증부 대출,1500,연 3.22%,"분할상환, 거치 24개월",경남,뷰티 서비스업,개인,4.3,600점대,3천만원 미만,없음,없음,있음,,19,,,
2025-04,2025-02,광주신용보증재단,광주 소상공인 특례보증 대출,2000,연 3.16%,"분할상환, 거치 24개월",광주,생활용품 도소매,개인,3.4,800점대,3천만원 미만,없음,없음,있음,,20,,,
2025-05,2025-02,지역신용보증재단,지자체 소상공인 이차보전 특례보증 상품,5000,연 2.76%,"분할상환, 거치 12개월",전북,교육 서비스업,개인,3.5,900점대,1억~3억원,없음,없음,없음,소진공,15,,,
2025-06,2025-02,중소벤처기업진흥공단,혁신창업사업화자금,19500,연 3.09%,거치식 원금균등분할,경기,전자기기 제조,개인,2.9,800점대,10억~30억,없음,없음,있음,,60,,,
2025-07,2025-02,기술보증기금,기보 보증부 대출,17000,연 3.17%,보증서대출 이자만 납부 방식,부산,친환경 패키징 제조,법인,8.4,900점대,30억~50억,없음,없음,없음,,48,,,
2025-08,2025-02,신용보증기금,스케일업 보증부 대출,23500,연 3.26%,보증서대출 이자만 납부 방식,대구,친환경 패키징 제조,법인,5.9,900점대,5억~10억,없음,없음,없음,,35,,,
2025-09,2025-02,기술보증기금,벤처·이노비즈 특례보증,25000,연 3.11%,보증서대출 이자만 납부 방식,서울,AI 솔루션,법인,7,700점대,30억~50억,없음,없음,있음,중진공,45,,,
2025-10,2025-02,기술보증기금,청년창업 스마트보증,27500,연 2.84%,보증서대출 이자만 납부 방식,경기,바이오 소재,법인,8.3,700점대,30억~50억,없음,없음,없음,,51,,,
2025-01,2025-01,충북신용보증재단,보증부 대출,5500,연 2.55%,"분할상환, 거치 12개월",충북,건설·인테리어,개인,3.1,800점대,5천만원 미만,없음,없음,없음,소진공,24,,,
2025-02,2025-01,경기신용보증재단,지자체 소상공인 이차보전 특례보증 상품,5500,연 2.67%,"분할상환, 거치 12개월",경기,식품 제조·가공업,개인,8.3,800점대,3천만원 미만,없음,없음,없음,소진공,23,,,
2025-03,2025-01,충남신용보증재단,충남 소상공인 특례보증 대출,4500,연 2.89%,"분할상환, 거치 12개월",충남,카페·베이커리,개인,4.6,600점대,5천만원 미만,없음,없음,없음,재단,15,,,
2025-04,2025-01,대구신용보증재단,보증부 대출,5000,연 2.92%,"분할상환, 거치 24개월",대구,식품 제조·가공업,개인,1.9,800점대,1억 미만,없음,없음,없음,,14,,,
E53,2025-01,소상공인시장진흥공단,혁신성장촉진자금(운전),1500,연 4.73%,"분할상환, 거치 24개월",전북,교육 서비스업,개인,1.4,800점대,1억 미만,재창업,없음,없음,,23,,,
2025-06,2025-01,신용보증기금,스케일업 보증부 대출,18000,연 3.51%,보증서대출 이자만 납부 방식,경기,친환경 패키징 제조,법인,12,800점대,30억~50억,없음,없음,없음,,38,,,
2025-07,2025-01,소상공인시장진흥공단,신용취약소상공인자금(소상공인 정책자금 직접대출),3500,연 4.61%,"분할상환, 거치 24개월",서울,도소매업,개인,4.3,800점대,1억~3억원,재창업,없음,없음,재단,45,,,
2025-08,2025-01,충북신용보증재단,지자체 소상공인 이차보전 특례보증 상품,5500,연 3.78%,"분할상환, 거치 12개월",충북,도소매업,개인,9,600점대,3천만원 미만,없음,없음,없음,,13,,,
E21,2025-01,중소벤처기업진흥공단,혁신창업사업화자금,13000,연 3.5%,"거치식 원금균등분할, 납입주기 1개월",경기,반도체 장비 제조,법인,3.7,800점대,3억~5억,없음,없음,없음,신보,37,,,
2025-10,2025-01,소상공인시장진흥공단,재도전특별자금(창업),3500,연 4.59%,거치식 원금균등분할(48개월),인천,건설·인테리어,개인,2.3,600점대,3천만원 미만,재창업,없음,있음,,18,,,
2024-01,2024-12,신용보증기금,스케일업 보증부 대출,8000,연 3.11%,보증서대출 이자만 납부 방식,경북,건축자재 도소매,법인,14.8,800점대,10억~30억,재창업,없음,있음,기보,40,,,
2024-02,2024-12,지역신용보증재단,대구 소상공인 특례보증 대출,2500,연 3.07%,"분할상환, 거치 24개월",대구,교육 서비스업,개인,6.5,700점대,3천만원 미만,없음,없음,있음,소진공,24,,,
2024-03,2024-12,신용보증기금,수출중소기업 특례보증,18500,연 3.65%,보증서대출 이자만 납부 방식,경북,2차전지 부품제조,법인,3.1,700점대,10억~30억,없음,없음,없음,지자체 이차보전,41,,,
2024-04,2024-12,기술보증기금,기보 보증부 대출,28500,연 2.87%,보증서대출 이자만 납부 방식,대구,소프트웨어 개발,법인,11.4,800점대,50억원 이상,없음,없음,있음,신보,36,,,
2024-05,2024-12,중소벤처기업진흥공단,제조 스마트화 설비자금,9000,연 3.28%,"분할상환, 거치 12개월",인천,섬유·의류 제조업,법인,5.5,700점대,3억~5억,없음,없음,없음,,51,,,
2024-06,2024-12,기술보증기금,기보 보증부 대출,20500,연 2.91%,보증서대출 이자만 납부 방식,인천,AI 솔루션,법인,9.1,700점대,30억~50억,없음,없음,있음,,48,,,
2024-07,2024-12,신용보증기금,신보 보증부 대출 (일반성장),9000,연 3.95%,보증서대출 이자만 납부 방식,경기,정밀기계 제조업,법인,10.2,900점대,50억원 이상,재창업,없음,없음,,48,,,
2024-08,2024-12,중소벤처기업진흥공단,투융자복합금융자금,15500,연 2.58%,"거치 24개월, 분할상환",경기,의료기기 제조업,법인,2.4,800점대,5억~10억,없음,없음,있음,신보,57,,,
2024-09,2024-12,소상공인시장진흥공단,재도전특별자금(창업),2000,연 3.65%,거치식 원금균등분할(48개월),전남,온라인 이커머스,개인,0.8,800점대,3천만원 미만,없음,없음,있음,,14,,,
2024-10,2024-12,지역신용보증재단,경북 소상공인 특례보증 대출,2500,연 3.06%,"분할상환, 거치 24개월",경북,뷰티 서비스업,개인,7.4,600점대,3천만원 미만,재창업,없음,없음,,26,,,
2024-01,2024-11,전북신용보증재단,보증부 대출,4500,연 3.27%,"분할상환, 거치 24개월",전북,전문 음식점업,개인,5.1,700점대,1억 미만,없음,없음,없음,,28,,,
2024-02,2024-11,기술보증기금,기보 우수R&D 기술보증 대출,13000,연 3.49%,보증서대출 이자만 납부 방식,경기,정밀기계 제조업,법인,8.1,800점대,10억~30억,없음,없음,있음,,47,,,
2024-03,2024-11,충북신용보증재단,보증부 대출,3000,연 3.12%,"분할상환, 거치 24개월",충북,도소매업,개인,2.9,600점대,1억 미만,없음,없음,있음,소진공,17,,,
2024-04,2024-11,소상공인시장진흥공단,소공인특화자금,3500,연 5.02%,거치식 원금균등분할(48개월),서울,뷰티 서비스업,개인,1.8,800점대,1억~3억원,재창업,없음,없음,재단,32,,,
2024-05,2024-11,신용보증기금,수출중소기업 특례보증,19500,연 3.43%,보증서대출 이자만 납부 방식,부산,2차전지 부품제조,법인,12.1,900점대,10억~30억,없음,없음,있음,,28,,,
2024-06,2024-11,신용보증기금,신보 보증부 대출 (일반성장),16500,연 3.1%,보증서대출 이자만 납부 방식,전남,친환경 패키징 제조,법인,11.6,800점대,5억~10억,없음,없음,있음,,43,,,
E19,2024-11,지역신용보증재단,보증부 대출,3500,연 3.19%,"분할상환, 거치 24개월",충남,카페·베이커리,개인,5.9,700점대,1억~3억원,없음,없음,있음,재단,14,,,
2024-08,2024-11,신용보증기금,유망창업기업 Start-up 보증,18000,연 3.73%,보증서대출 이자만 납부 방식,서울,바이오 소재,법인,7.9,700점대,5억~10억,없음,없음,있음,,32,,,
2024-09,2024-11,중소벤처기업진흥공단,투융자복합금융자금,10500,연 3.04%,"거치식 원금균등분할, 납입주기 1개월",충북,섬유·의류 제조업,개인,3.8,800점대,3억~5억,없음,없음,있음,기보,60,,,
2024-10,2024-11,경남신용보증재단,보증부 대출,3500,연 2.72%,"분할상환, 거치 12개월",경남,건설·인테리어,개인,9.7,900점대,3천만원 미만,없음,없음,없음,,15,,,
2024-01,2024-10,중소벤처기업진흥공단,제조 스마트화 설비자금,10500,연 2.96%,거치식 원금균등분할,경기,섬유·의류 제조업,법인,2.1,700점대,3억~5억,없음,없음,있음,기보,61,,,
2024-02,2024-10,충남신용보증재단,보증부 대출,2000,연 2.53%,"분할상환, 거치 24개월",충남,카페·베이커리,개인,2.2,900점대,5천만원 미만,없음,없음,없음,,11,,,
E7,2024-10,기술보증기금,청년창업 스마트보증,22000,연 3.2%,보증서대출 이자만 납부 방식,대구,전자기기 제조,법인,4.2,700점대,10억~30억,없음,없음,없음,신보,44,,,
2024-04,2024-10,기술보증기금,벤처·이노비즈 특례보증,28500,연 3.04%,보증서대출 이자만 납부 방식,경북,전자기기 제조,법인,8.2,700점대,30억~50억,없음,없음,없음,중진공,43,,,
2024-05,2024-10,소상공인시장진흥공단,재도전특별자금(창업),4000,연 4.89%,"분할상환, 거치 24개월",경남,온라인 이커머스,개인,4,700점대,1억~3억원,없음,없음,없음,,38,,,
2024-06,2024-10,기술보증기금,벤처·이노비즈 특례보증,12000,연 3.52%,보증서대출 이자만 납부 방식,서울,친환경 패키징 제조,개인,14.9,900점대,30억~50억,없음,없음,있음,중진공,33,,,
2024-07,2024-10,신용보증기금,신보 보증부 대출 (일반성장),14000,연 3.62%,보증서대출 이자만 납부 방식,강원,전자기기 제조,법인,14.2,700점대,10억~30억,없음,없음,없음,지자체 이차보전,46,,,
2024-08,2024-10,충북신용보증재단,지자체 소상공인 이차보전 특례보증 상품,5500,연 3.92%,"분할상환, 거치 12개월",충북,생활용품 도소매,개인,5.6,700점대,1억~3억원,없음,없음,있음,,17,,,
2024-09,2024-10,기술보증기금,청년창업 스마트보증,12000,연 3.07%,보증서대출 이자만 납부 방식,경기,AI 솔루션,법인,3.7,900점대,10억~30억,없음,없음,없음,,30,,,
2024-10,2024-10,지역신용보증재단,보증부 대출,2000,연 3.06%,"분할상환, 거치 24개월",서울,온라인 이커머스,개인,6,800점대,1억 미만,재창업,없음,있음,소진공,23,,,
2024-01,2024-09,소상공인시장진흥공단,혁신성장촉진자금(운전),4000,연 4.71%,거치식 원금균등분할(48개월),서울,도소매업,개인,1.3,800점대,5천만원 미만,없음,없음,없음,,22,,,
2024-02,2024-09,기술보증기금,청년창업 스마트보증,27000,연 2.83%,보증서대출 이자만 납부 방식,서울,AI 솔루션,법인,12.5,900점대,10억~30억,없음,없음,있음,,34,,,
2024-03,2024-09,기술보증기금,기보 보증부 대출,20500,연 2.93%,보증서대출 이자만 납부 방식,광주,2차전지 부품제조,법인,10.7,900점대,30억~50억,없음,없음,없음,,38,,,
2024-04,2024-09,경남신용보증재단,보증부 대출,1500,연 3.08%,"분할상환, 거치 12개월",경남,온라인 이커머스,개인,9.7,900점대,1억~3억원,재창업,없음,없음,재단,13,,,
2024-05,2024-09,경기신용보증재단,지자체 소상공인 이차보전 특례보증 상품,2500,연 3.18%,"분할상환, 거치 12개월",경기,전문 음식점업,개인,3.2,800점대,1억 미만,없음,없음,있음,,15,,,
2024-06,2024-09,기술보증기금,기보 우수R&D 기술보증 대출,26000,연 3.55%,보증서대출 이자만 납부 방식,경기,2차전지 부품제조,법인,14.8,800점대,50억원 이상,없음,없음,있음,,50,,,
2024-07,2024-09,소상공인시장진흥공단,재도전특별자금(창업),1000,연 4.08%,거치식 원금균등분할(48개월),서울,건설·인테리어,개인,2.2,800점대,1억 미만,없음,없음,없음,재단,20,,,
